QID,LEN,Description or Summary,Start date,End date,Institutions/Partners,Affiliate/Organization,Region,Country,Main focal point,Main Activities,Wikimedia Projects Used,Audience,Level of Education,SDG4 Areas,Subject,Skills addressed,Funding,Evaluation,Case Study,Newsletter articles,Other documentation,Media,Number of pages created,Number of bytes added,Number of participants,Number of Influenced Policies
,IIM Education Program,Involving students of mass communication in Odia Wikimedia projects to improve and create articles on Odia Wikipedia. And help the students of mass education use Wikipedia as a tool for fact checking and adding references to them,2012,2017,"Indian Institute of Mass Communication, Dhenkanal",CIS-A2K,South-Asia,India,Subhashish Panigrahi/Sailesh Patnaik,Student editing,"Wikipedia, Wikisource, Incubator",,Higher Education,infrastrcture,History,"Editing, training",WMF/CIS-A2K,,No,,"https://meta.wikimedia.org/wiki/IIMC_Workshop,_2017",,,,,
,Andhra Loyola College WEP,Involving students of University in different semester to teach them digital skills with the help of Wikimedia projects.,2012,,"Andhra Loyola College, Vijaywada",CIS-A2K,South-Asia,India,Pavan Santosh,Student editing,"Wikipedia, Commons, Wikisource",,Higher Education,,-,"Editing, training, digitisation skills",WMF/CIS-A2K,,No,,,,,,,
,School Wiki project,Involving school students to edit on their own media wiki extension.,,,Various schools in Kerala State,Malayalam Wikimedians/Government of Kerala,South-Asia,India,Viswa Prabha,Student editing,"Wikipedia, Commons, Wikisource",,Higher Education,,School Wiki,"Editing, training, digitisation skills",,,No,,,,,,,
,Kalinga Institue of Social Science WEP,"Involve students of University to make Odia Wikisource a live project, help them learn digitisation skill and work on their native language Wiki project.",2012,2014,"Kalinga Institute of Social Science, Bhubaneswar",CIS-A2K,South-Asia,India,Subhashish Panigrahi,Student editing training,"Wikipedia, Wikisource, Incubator",,Higher Education,,"Digitisation, Skill learning","Editing, training",WMF/CIS-A2K,,No,,,,,,,
,St. Alosyious WEP,Involving students of University in different semester to teach them digital skills with the help of Wikimedia projects.,2012,,"St. Alosyious College, Mangalore",Karavali Wikimedians UG,South-Asia,India,U. V. Pavanaja/Gopala Krishna,student editing ,"Wikipedia, Commons, Wikisource",,Higher Education,,-,,,,No,,https://meta.wikimedia.org/wiki/Karavali_Wikimedians/Reports,,,,,
,ShahidChamran University of Ahvaz,Awareness on Editing Wikipedia,2016,2017,ShahidChamran University of Ahvaz,Iranian Wikimedians UG,Western Asia,Iran,Mohsen/Mardetanha,Student editing training,Wikipedia,,Higher Education,infrastructure,History and General topics,"Training, Awareness",,,No,,https://meta.wikimedia.org/wiki/Iranian_Wikimedians_User_Group/Education_Program,,,,,
,ShahidBeheshti University of Tehran,Awareness on Editing Wikipedia,2016,2017,ShahidBeheshti University of Tehran,Iranian Wikimedians UG,Western Asia,Iran,Mohsen/Mardetanha,Student editing training,Wikipedia,,Higher Education,infrastructure,History and General topics,"Training, Awareness",,,No,,,,,,,
,Wikimedia outreach and access in Ireland,"We are currently running a number of meetups, training, and attending outreach events. Embedding Wikimedia activities in primary, secondary and higher education is a particular interest of the group.",2010,2018,,Wikimedia Community Ireland UG,Western Europe,Ireland,Sharon Flynn,Student editing; teacher editing,WIkipedia,,All,infrastructure,,"reading, writing, editing, research",None,,,,,"https://wikivisually.com/wiki/Education_Program:University_College_Dublin/Advanced_Information_Skills_for_Problem_Solving_IS20010_(Autumn_2015)
https://meta.wikimedia.org/wiki/Wikimedia_Community_Ireland/Past_projects",,,,
,Wikipedia in schools in Italy - Progetto Scuole,"The different school projects implemented in Italy aimed at involving teachers and students in the implementation of initiatives related to the use of Wikipedia in schools involving teachers and students in the use and creation of Wikipedia content establishing a connection between schools, the community of Wikipedia and Wikimedia around the world.",2016,2018,,Wikimedia Italy,Western Europe,Italy,Luigi Catalani,Student editing; teacher editing,Wikipedia,,All,"infrastructure, mother language literacy",,"reading, writing, editing, research, exposure",None,,,,,,,,,
,Student usage of Wikipedia - World Between Your Hands,working with the Ministry of Education and the Ministry of Culture (Jordan) to get students actively using Wikipedia,2013,2018,,,Middle East,Jordan,Dr. Nidal Yousef,Wikipedia Assignment; Wikipedia Editing,Wikipedia,,All,"infrastructure, mother language literacy",,"reading, writing, editing, research, exposure",Ministry of culture and education,,,,,,,,,
,Wikipedia student clubs in Kazakhstan - Wikibillim,WikiBilim encourages Kazakh Wikipedia’s use in educational institutions in Kazakhstan. Four student clubs are getting started and 10 Wikipedia Ambassadors run campus-based trainings each week,2012,,-,WikiBilim Public Foundation,Central Asia,Kazakhstan,Rauan Kenzhekhanuly,Student editing,Wikipedia,,All,"mother language literacy, teacher motivation",,"reading, writing, editing, research, exposure",None,No,No,No,,https://blog.wikimedia.org/2012/07/05/class-assignment-inspired-wikipedian-of-the-year-to-grow-kazakh-wikipedia/,,,,
,"Wikipedia access and editing in Kenya - Wikipedia for Schools Project (Formerly ""A world of learning"")","In 2011-2013 Wikimedia volunteers in Kenya sought to disseminate offline packages to schools in Kenya. The aim was to bring improved access to free information, especially critical educational content, to Kenya’s students and teachers through the installation of Offline Wikipedia in Primary & Secondary Schools across the country.",2011,2013,,SOS Children,East Africa,Kenya,Abbas Mahmoud,student editing; wikipedia assignment,Wikipedia,,,infrastructure,,,,,,,,https://blog.wikimedia.org/2014/06/20/wikipedia-for-schools-project/,,,,
,Wikipedia editing in Latvia at Latvijas Universitate,A pilot project will begin this spring with one institution -- Latvijas Universitāte -- and one course -- Sociālie mediji un digitālā kultūra,2015,2015,,,Eastern Europe,Latvia,Mārtiņš Bruņenieks,Wikipedia assignment,Wikipedia,,Higher Education,infrastructure,,,None,,No,No,,https://lv.wikipedia.org/wiki/Izgl%C4%ABt%C4%ABbas_programma:Latvijas_Universit%C4%81te/Soci%C4%81lie_mediji_un_digit%C4%81l%C4%81_kult%C5%ABra_(2015-I),,,,
,Article writing about southern Africa,First-year students used their sandboxes to either create or improve an article about Southern Africa.,2012; 2015,2018,Polytechnic of Namibia in Windhoek,,SouthWestern Africa,Namibia,Peter Gallert,Wikipedia assignment,Wikipedia,,Higher Education,infrastructure,,"Editing, research, reading, writing",Polytechnic University,,No,No,No,,,,,
,University of Amsterdam,,2014,2016,University of Amsterdam,Benelux Education Program,Western Europe,Netherland,"Corto lu, Romaine","Training, Student editing ",Wikipedia,,Higher Education,,,,,,No,,,,,,,
,International Institute for Social Studies (Erasmus University),,2018,,International Institute for Social Studies (Erasmus University),Wikimedia Nederland,North-Western Europe,Netherland,,"Training, Editing",Wikipedia,,Higher Education,,,,WMF APG,,No,,,,,,,
,Adopt a school series ,This project aims to train and nurture young editors using Wiki tools by way of monitoring scheme,2015,2015,Alimosho Junior Grammar School,Wikimedia Community User Group Nigeria,Western Africa,Nigeria,Olushola Olaniyan,"editing training, teacher training",Wikipedia,"Students, Teachers",Higher Education,,Computer Science and Language,"Editing, research, writing",Self-funded,,No,No,https://meta.wikimedia.org/w/index.php?title=Wikimedia_Usergroup_Nigeria/Adopt_a_school_series&redirect=no,,,,,
,Birzeit University WEP,Workshop in University during fall and spring semester,2016,2017,Birzeit University,Wikimedia Levant UG,Middle-East,Palestine,Mohammed Hijjawi,Student editing training,Wikipedia,,Higher Education,,"Biology, Forensic Chemistry","Editing, Training and Awareness",,,No,,"https://outreachdashboard.wmflabs.org/courses/Birzeit_University/Biology_244
https://outreachdashboard.wmflabs.org/courses/Birzeit_University/Biol_243
https://outreachdashboard.wmflabs.org/courses/Birzeit_University/CHEM738
http://mhijjawi.blogspot.com/2017/06/20162017.html",,,,,
,Wikipedia science research and writing in Poland,"The Projekty szkolne i akademickie (PSiA, ""School and University Projects"") is a program tasked with helping educators and scientists use Wikipedia and her sister projects as both a valuable teaching tool and source of information for their students. Experienced Wikipedians assist university and high school teachers in preparing curricula for their courses, teaching their students the inner workings of the wiki world and eventually publish new content on Wikipedia.",,,,Wikimedia Polska,Eastern Europe,Poland,Tomasz Ganicz,Wikipedia assignment,Wikipedia,,Higher Education,infrastructure,,"Editing, research, writing",None,,No,No,No,,,,,
,Wikimedia org meetings in Poland,"The Wikiwarsztaty (""WikiWorkshops"") are wiki editing workshops organised by the Polish Wikimedia community for institutions, their members and supporters. The purpose of the project is to expand the user base by teaching entire groups of people how to collaborate on Wikipedia and her sister projects, including Wikimedia Commons, Wikisource and Wikinews.",,,,Wikimedia Polska,Eastern Europe,Poland,Tomasz Ganicz,,Wikicommons,,Higher Education,infrastructure,,"Editing, research, writing",None,,,,No,,,,,
,Wiki Student,"Wiki Student is a project by Wikimedia Serbia for University/Higher Education students and teachers or assistants. The idea is to introduce students to Wikipedia and Wikimedia projects to the audience, its meaning, benefits, and above all, editing, and the teachers / assistants encourage the use of modern approaches to teaching.",2005,,"University of Belgrade
Alpha BK University, Belgrade
University of Niš
University of Podgorica, Montenegro
University of Banja Luka, Bosnia and Herzegovina
Megatrend University, Belgrade",Wikimedia Serbia,Eastern Europe,Serbia,"Nebojša Ratković, Filip Maljković","Training, Student editing , teacher training, translation",Wikipedia,,Higher Education,,,,,,No,,,,,,,
,Wiki Gymnasium,"Wiki Gymnasium project is designed primarily for high schools (especially gymnasium) and their students and teachers.
The idea is to familiarize students with Wikipedia, its meaning, benefits, and above all, editing, and to encourage teachers to use modern approaches to teaching.",2012,-,List of Institutions,Wikimedia Serbia ,Eastern Europe,Serbia,"Nebojša Ratković, Filip Maljković","Training, Student editing ",Wikipedia,,Secondary Education,,"Geography, History, Biology",,,,No,,,,,,,
,Wiki Schooler,Wiki Schooler is a project for Primary school students and their teachers.,2013,2018,University of Niš,Wikimedia Serbia and Volunteers,Eastern Europe,Serbia,"Nebojša Ratković, Filip Maljković","Training, Student editing ",Wikipedia,,Higher Education,,,,,,No,,,,,,,
,University business and law student editing,"Students work in groups to prepare Wikipedia articles, or parts of articles, about constitutional and administrative law in Singapore.The aims of the project are to encourage students to internalize the material covered in the course; and to contribute towards producing a body of accurate information about Singapore constitutional and administrative law that is freely available on the Internet.",,2018,,Singapore Managment University & Nanyang Technological University ,South-East Asia,Singapore,Dr. Jack Tsen-Ta Lee,Student editing; Wikipedia assignment,Wikipedia,,Higher Education,infrastructure,,"Editing, research, writing",None,,No,No,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/August_2013/The_Singapore_Management_University_Constitutional_and_Administrative_Law_Wikipedia_Project_%E2%80%93_putting_accurate_and_free_information_about_Singapore_law_on_the_Internet,,,,
,Abaarso School of Science and Technology,,,,,,North Africa,Somalia,Dhastingsabaarsotech,,,,Higher Education,,,,,,No,No,No,,,,,
,University coursework editing in South Korea at Hanyang University,"Professor teaches sociology courses such as  Collective Intelligence in Practice: Understanding Wikipedia and Sociology of Globalization. The goal of these assignments is for groups of students to choose an underdeveloped or missing article on Wikipedia, related to sociology and Korea, and improve it to Good Article status during the duration of the course (3.5 months).",2013,2018,Hanyang University,Wikimedians of Korea UG,East Asia,South Korea,Piotr Konieczny,student editing; wikipedia assignment,Wikipedia,,Higher Education,"infrastructure, teacher motivation",,"Sociology, reading, writing, inquiry",Hanyang and Kyung Hee Universities,No,,,,,,,,
,"Sri Jayewardenapura University, Colombo",,Proposed in 2018,,"Sri Jayewardenapura University, Colombo","Wikimedia Community User Group, Sri Lanka",South-Asia,Sri-Lanka,,,Wikipedia,,,,,,,,No,,,,,,,
,University of Berne,,2018,,University of Berne,Wikimedia CH,Central Europe,Switzerland,,"Training, awareness",Wikipedia,,Higher Education,,,,WMF APG,,,,,,,,,
,University of Neuchâtel,,2018,,University of Neuchâtel,Wikimedia CH,Central Europe,Switzerland,,"Trainining, awareness",Wikipedia,,Higher Education,,,,WMF APG,,,,,,,,,
,Wikipedia Ed Program Launch in Syria,Wikipedians in Syria are launching a pilot edition of the Wikipedia Education Program in two local higher education institutions: the Syrian Wikipedian Foundation and the Syrian Researchers Initiative.,2015,2015,,,Middle East,Syria,Ahmed Ahmed,,Wikipedia,,Higher Education,infrastructure,,"Editing, research, writing",Syrian Researchers Initiative,,No,No,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/January_2015/Pilot_Wikipedia_Education_Program_in_Syria,,,,
,Centre for Aboriginal Studies/National Chen Chi University,Collaboration with Centre for Aboriginal studies and National Chen Chi University to edit and create articles on ethnology on Chinese Wikipedia,2015,,"Centre for Aboriginal Studies, National Chen Chi University",Wikimedia Taiwan,East-Asia,Taiwan,Shangkuanlc,Student editing ,Wikipedia,,Higher Education,,Culture and Ethnology,"Writing, Collaboration",-,No,No,,https://blog.wikimedia.org/2015/10/01/chinese-wikipedia-ethnological-diversity/,,,,,
,National Chengchi University,Involve students as a part of class assignment to improve articles on Ethnology,2014,-,National Chengchi University,Wikimedia Taiwan,East-Asia,Taiwan,Shangkuanlc,"Student editing, Wikipedia Assignment",Wikipedia,,Higher Education,,Ethnology,"Writing, Collaboration",,,No,,https://zh.wikipedia.org/wiki/Wikipedia:%E8%87%BA%E7%81%A3%E6%95%99%E8%82%B2%E5%B0%88%E6%A1%88/%E6%94%BF%E5%A4%A7%E4%B8%96%E7%95%8C%E6%B0%91%E6%97%8F%E8%AA%8C%E5%AD%B8%E7%BF%92%E4%BD%9C%E6%A5%AD/103%E5%AD%B8%E5%B9%B4%E5%BA%A6,,,,,
,National Taiwan University,Wikimedia Taiwan has collaborated with different departments of NTU to engage students in different Wikipedia editing activities. ,2012,-,National Taiwan University,Wikimedia Taiwan,East-Asia,Taiwan,Shangkuanlc,"Collaboration, Assignment, Student Editing",Wikipedia,,Higher Education,,"History, Ethnology, Physics, Language","Writing, Training, Collaboration",,,No,,https://zh.wikipedia.org/wiki/Category:%E5%8F%B0%E5%A4%A7%E7%B6%AD%E5%9F%BA%E7%A4%BE,,,,,
,Jiaotong University,"Each student must read two ""滔滔"" (Ocean) during the semester. Cultural science blogs or ""PanSci"" (a wide range of scientific science blogs) articles, as well as four wiki-good or featured articles. The Wikipedia file will be uploaded to Wikimedia Commons to enable visually impaired people to use Wikipedia.",2015,-,Jiaotong University,Wikimedia Taiwan,East-Asia,Taiwan,Shangkuanlc,Wikipedia Assignment,Wikipedia,,Higher Education,,Cultural Science,"Training, Collaboration",,,No,,https://zh.wikipedia.org/wiki/Wikipedia:%E8%87%BA%E7%81%A3%E6%95%99%E8%82%B2%E5%B0%88%E6%A1%88/%E4%BA%A4%E5%A4%A7%E6%9C%89%E8%81%B2%E7%B6%AD%E5%9F%BA%E6%9C%8D%E5%8B%99%E5%AD%B8%E7%BF%92,,,,,
,Mahidol University,"The pilot group is environmental chemisty class made up of eight students (sex: 5 males and 3 females, nationality: 5 native and 3 foreign, major: 7 chemistry and 1 environmental science). Students will pick their topics on the 6th week and give a presentation on the 12th week.",2014,2015,Mahidol University,Wikimedians in Thailand,South East- Asia,Thailand ,Taweetham Limpanuparb,Student editing training,Wikipedia,,Higher Education,,Environmental Studies,"Editing, Collaboration, critical thinking",-,No,No,,,,,,,
,Wikipedia writing in Tunisia," This project forms part of the training of engineering students at l'École privée d'ingénieurs, which is the pipeline for training future engineers.",2014,2015,,Wikimedia TN User Group,North Africa,Tunisia,,Wikipedia assignment,Wikipedia,,,mother language literacy,,"Editing, research, writing",None,,No,No,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/May_2015/Rachidia_music_school_celebrates_80_years_of_love_and_art_by_editing_Wikipedia,,,,
,Uludag University,Involve students to improve and create Wikipedia articles on different topics and subject,2015,2017,Uludag University,Wikimedians of Turkey,Western Asia,Turkey,,Student editing training,Wikipedia,,Higher Education,,"Communication, Pshycology",,,,No,,,,,,,
,Yüzüncü Yıl University,,2016,2016,Yüzüncü Yıl University,Wikimedians of Turkey,Western Asia,Turkey,,Student editing training,Wikipedia,,Higher Education,,,,,,No,,,,,,,
,Sakaraya University,Involve students to improve and create Wikipedia articles,2016,2016,Sakaraya University,Wikimedians of Turkey,Western Asia,Turkey,,Student editing training,Wikipedia,,Higher Education,,Geography,,,,No,,,,,,,
,Luganda Project,"Expand articles on Luganda Wikipedia, Spread awareness among the native speakers to access content in their language and imorive content.",2012,2012,Luganda Project,,East-Africa,Uganda,Paulina Bäckström,Student editing training,Wikipedia,,Secondary and Higher Education,Transforming from traditional method education to modern method of education,Sustainable Development,Training and Awareness,WWF,No,No,No,https://blog.wikimedia.org/2014/05/28/luganda-wikipedia-project/,,,,,
,Wikiproject «WikiStudia»,"100 Literary Biographies"". 100 articles about writers, poets, historians, literary scientists were created or improved during this course by 30 students.",2015,,"Lazarevskyi Educational and Scientific Institute of History, Ethnology

Chernigiv T.Shevchenko National Teachers' Training University",Wikimedia Ukraine,CEE,Ukraine,Vira Mortoka,Student editing training,Wikipedia,,Higher Education,,"Literature, Science",Editing,,,No,,,,,,,
,University editing and writing in the UK,Involves working with the higher education sector to see Wikipedia used as a tool for teaching.,2013,Ongoing ,,Wikimedia UK,Western Europe,United Kingdom,Daria Cybulska,Student editing; student writing,Wikipedia,,,mother language literacy,,"Editing, research, writing",None,,No,No,No,,,,,
,CFE and CEIBAL Collaboration program,with CFE and CEIBAL support we are developing a project on the subject Wikipedia in Education. CFE is the Consejo de Formación en Educación; the Board of Education. Ceibal.edu.uy is socio-educational portal of Plan Ceibal (A gateway to hundreds of learning objects).,2012,,CFE and CEIBAL Collaboration program,Wikimedia Uruguay,South America,Uruguay,Fernando Da Rosa Morena,-,Wikipedia,,-,,-,-,,,No,"https://outreach.wikimedia.org/wiki/Education/Newsletter/March_2015/A_new_edition_of_Wikipedia_Education_Program_kicks_off_in_Uruguay

https://outreach.wikimedia.org/wiki/Education/Newsletter/June_2015/A_Wikipedia_project_in_foreign_languages_receives_a_teaching_award_in_Uruguay",,,,,,
,UCAB Community Service,"Learn and Edit Wikipedia articles, expand and create biographies of and locate and upload public domain images",2016,2017,UCAB Community Service,Wikimedia Venezuela,South America,Venezuela,Oscar.,,Wikipedia,,Higher Education,,-,Training and Editing ,,,No,,https://wikimedia.org.ve/wiki/Programas:Educaci%C3%B3n,,,,,
,Wikiclubs in School,,2012,,,,,,,,,,,,,,,,,,https://outreach.wikimedia.org/wiki/Education/Countries/Thailand/Wikiclubs_in_Schools,,,,,
,WikiAfrica Schools,"Education of primary till high schools in Africa, using WikiFundi",1/15/2017,,Moleskine Foundation,WikiAfrica,Southern Africa,South Africa,Florence Devouard,"Editor Training, Teacher Training",Wikipedia,"Students, Teachers","Secondary (Middle or High School), Higher Education","OERs, Inclusion","Literature, History","collaboration, digital literacy, writing, critical thinking, information literacy",Moleskine Foundation,no,no,no,http://wikiinafrica.org/?portfolio=wikiafrica-schools,,,,,
,WikiChallenge Ecoles d'Afrique,Primary school students writing encyclopedic articles using WikiFundi,9/1/2017,,Orange Foundation,WikiAfrica,"Eastern Africa, Middle Africa, Western Africa, Northern Africe","Tunisia, Madagascar, Cameroon, Niger, Guinea,  Mali etc.",Florence Devouard,"Editor Training, Teacher Training, Photo expeditions",Vikidia / Wikimedia Commons,"Students, Teachers",Primary (K-5),"OERs, Inclusion","Literature, History","collaboration, digital literacy, global citizenship, writing, information literacy, creativity",Orange Foundation,no,https://commons.wikimedia.org/wiki/File:WikiChallenge_poster-High_Resolution.jpg,Several in the Education newsletter,https://fr.vikidia.org/wiki/Projet:WikiChallenge_Ecoles_d%27Afrique,,,,,
,VVIT WikiConnect,"VVIT WikiConnect is a student organization from Vasireddy Venkatadri Institute of Technology, located in the vicinity of Guntur, Andhra Pradesh, India. It is a college-based club that has been established to promote the concept of Wikimedia movement i.e. the concept of free access to knowledge, among the students and staff of the college. Editors who wish to be part of this group or work with the group may add their name to the members' page.",11/6/2017,,Vasireddy Venkatadri Institute of Technology,n/a,Southern Asia,India,Krishna Chaitanya Velaga,"WikiClub, Editor Training, Teacher Training, Translation, Partnerships, Photo expeditions","Wikipedia, Wikidata, Wikimedia Commons, Wikisource, MediaWiki, Wiktionary","Students, Teachers, Wikimedians, Librarians",Higher Education,"Mother language, Education policy, Gender, Inclusion",,"collaboration, digital literacy, communication, global citizenship, writing, critical thinking, information literacy, creativity, language, leadership, partnerships","Wikimedia Foundation, CIS-A2K",https://meta.wikimedia.org/wiki/Grants:Project/Rapid/VVIT_WikiConnect/Annual_Plan_(2018–2019)/Report,,https://outreach.wikimedia.org/wiki/Category:VVIT_WikiConnect,,,,,,
,ITV college for translators,Students translate Wikipedia articles from various languages into Dutch - as an internship,1/1/2015,,ITV Hogeschool voor tolken en vertalers,Wikimedia Nederland,Western Europe,Nederland,info@wikimedia.nl,Translation,Wikipedia,Students,Higher Education,,Language,"digital literacy, language",None,Interim evaluation after first year - now permanent,no,no,no,,,,,
,Writing Cultural History on Wikipedia,12th grade (final year) students at Swedish high schools write & expand articles on Swedish-language Wikipedia using sources from the Nordic Museum research library and archives.,9/1/2016,4/1/2019,6 Swedish high schools,Wikimedia Sverige,Northern Europe,Sweden,Aron Ambrosiani,"Editor Training, Teacher Training, Digitization","Swedish Language Wikipedia, Wikimedia Commons","Students, Teachers, Librarians",Secondary (Middle or High School),"Mother language, Education policy, Gender","Literature, History","digital literacy, writing, critical thinking, information literacy, research",None,No structured evaluation,Has been presented in Swedish in http://libris.kb.se/bib/21904612,,some articles in Swedish can be found at https://sv.wikipedia.org/wiki/Wikipedia:Projekt_GLAM/Nordiska_museet/Kulturhistoria_som_gymnasiearbete#Press,,,,,
,Catalan Sign Language and Wiktionary,"The goal of this project is to add more Catalan Sign Language entries in the Catalan Wiktionary with the purpose of not only spread awareness of this language but also to help those who want to learn it. We currently have almost 1,000 signs.",4/10/2019,,Pompeu Fabra University (Barcelona),Amical Wikimedia,Southern Europe,Spain (Catalonia only),Roc Humet Vidal,"Digitization, Partnerships",Wiktionary,students,Catalan Sign Language courses,"Mother language, Inclusion",Language,,None,no (still on-going),no,,https://www.wikimedia.cat/2019/06/19/llengua-de-signes-catalana-al-viccionari/,,,,,
,SEABA Education Program,To develop an understanding of Wikimedia projects and also assist students as well as teachers in contributing  various Wiki projects.,4/4/2019,,"SEABA International Public School, Lehragaga","SEABA International Public School, Lehragaga",Southern Asia,India,Jagseer S Sidhu,"WikiClub, Editor Training, Teacher Training, WikiCamp, Translation","Wikipedia, Wikisource and Commons","Students, Teachers, Wikimedians","Secondary (Middle or High School), Higher Education","Mother language, Education policy, Gender","Literature, Art, Photography, Language","collaboration, digital literacy, communication, writing, critical thinking, information literacy, creativity, research, language",None,"https://meta.wikimedia.org/wiki/Punjabi_Wikimedians/Wikimedia_Education_Program_at_SEABA_School,_Lehragaga",no,https://outreach.wikimedia.org/wiki/Education/News/July_2019/SEABA_school_in_India_has_hired_a_Wikimedian_to_teach_Wikimedia_project_in_their_school,no,,,,,
,WiciAddysg Education Project,"Project to work with teachers and students to identify Welsh Wiki content relevant to the school syllabus, and create high quality content.",9/1/2019,9/1/2020,"Welsh Government, WJEC (examining body), Menter Iaith Môn",National Library of Wales,Western Europe,Wales,Jason Evans,"Editor Training, Teacher Training, Research, Partnerships","Wikipedia, Commons","Students, Policy makers","Primary (K-5), Secondary (Middle or High School)","Mother language, Education policy, OERs",History,"collaboration, digital literacy, writing, language",Welsh Government Education Dept,Ongoing,no,no,https://businessnewswales.com/national-library-of-wales-to-lead-on-welsh-wikipedia-project/,,,,,
,University of Edinburgh Wikimedian in Residence,"The University of Edinburgh residency is to facilitate a sustainable relationship between the University and Wikimedia UK to the mutual benefit of both communities through improving knowledge exchange. To do this, the WiR will be an advocate of open knowledge and deliver training events & workshops which will further both the quantity & quality of open knowledge and the university’s commitment to digital and information literacy. More practically, this will involve arranging & delivering skills-training sessions which will fit in with and, importantly enhance, the learning & teaching within the curriculum. The WiR will also stage events outside the curriculum which will draw on the university’s, and Edinburgh’s, rich history & knowledge.",1/11/2016,,University of Edinburgh,Wikimedia UK (and Wikimedia Scotland #ScotWiki),"Western Europe, Northern Europe",Scotland,Ewan McAndrew,"Editor Training, Teacher Training, Research, Translation, Partnerships","Wikipedia, Wikidata, Wikisource, Wikimedia Commons, ","Students, Teachers, Librarians, Policy makers",Higher Education,"Mother language, Education policy, Gender, OERs, Inclusion, Human Rights","Science, Literature, Art, History, Language","collaboration, digital literacy, communication, global citizenship, writing, critical thinking, information literacy, research, language",University of Edinburgh,https://en.wikipedia.org/wiki/Wikipedia:University_of_Edinburgh/Year_Four_report,https://www.jisc.ac.uk/news/turning-students-from-consumers-to-creators-28-feb-2019,https://blog.wikimedia.org.uk/2019/06/university-of-edinburgh-win-higher-education-award-for-innovative-use-of-wikimedia-in-the-curriculum/,https://thinking.is.ed.ac.uk/wir/,,,,,
,Wikimedia Indonesia Education Program 2018,"The goal of this program is to: 
1. Raise an awareness of Wikipedia and other Wikimedia projects
2. Develop an understanding on how to contribute to Wikipedia and other Wikimedia projects
3. Introduce Wikipedia and other Wikimedia projects as a teaching-learning material
4. Gain more contributors",,,"Universitas Negeri Yogyakarta, Universitas PGRI Semarang, Universitas Sebelas Maret, Universitas Andalas, Teachers Association of The Republic of Indonesia (PGRI), Universitas Syiah Kuala, Universitas Islam Negeri Maulana Malik Ibrahim Malang",Wikimedia Indonesia,Southeastern Asia,Indonesia,"Raymond Sutanto, Nur Rahmi Nailah","Editor Training, Teacher Training, Translation, Partnerships","Wikipedia, Wikimedia Commons ","Students, Teachers, Wikimedians, Librarians","Secondary (Middle or High School), Higher Education, Vocational, Lifelong learning","Mother language, Education policy, Gender, OERs","Science, Literature, Art, Photography, History, Language","collaboration, digital literacy, communication, writing, critical thinking, information literacy, creativity, research, language","Wikimedia Foundation, in-kind donation",https://meta.wikimedia.org/wiki/Grants:APG/Proposals/2017-2018_round_2/Wikimedia_Indonesia/Impact_report_form#Education,,,,,,,,
,Wikimedia Indonesia Education Program 2019,"The goal of this program is to: 
1. Raise an awareness of Wikipedia and other Wikimedia projects
2. Develop an understanding on how to contribute to Wikipedia and other Wikimedia projects
3. Introduce Wikipedia and other Wikimedia projects as a teaching-learning material
4. Gain more contributors",,,"Universitas Gadjah Mada, Universitas Negeri Yogyakarta, Universitas Andalas, Universitas Putra Indonesia ""YPTK"" Padang, Teachers Association of The Republic of Indonesia (PGRI)",Wikimedia Indonesia,Southeastern Asia,Indonesia,"Raymond Sutanto, Nur Rahmi Nailah","Editor Training, Teacher Training, Translation, Partnerships","Wikipedia, Wikimedia Commons","Students, Teachers, Wikimedians, Librarians","Secondary (Middle or High School), Higher Education, Vocational, Lifelong learning","Mother language, Education policy, Gender, OERs","Science, Literature, Art, Photography, History, Language","collaboration, digital literacy, communication, writing, critical thinking, information literacy, creativity, research, language","Wikimedia Foundation, in-kind donation",not yet,none,https://outreach.wikimedia.org/wiki/Education/News/September_2019/Wiki_Goes_to_School_is_back_in_three_cities_in_Indonesia https://outreach.wikimedia.org/wiki/Education/News/September_2019/Wikimedia_Indonesia_trained_the_trainers_through_WikiPelatih_2019 https://outreach.wikimedia.org/wiki/Education/News/October_2019/Teachers_Association_of_the_Republic_of_Indonesia_(PGRI)_Keeps_Improving_Teachers%E2%80%99_Digital_Literacy_Through_the_Use_of_Wikipedia,none,,,,,
,Wiki Clubs in Northern Macedonia,Wiki Clubs in the North Macedonia is a project where we engage young students to edit Wikipedia,October 2016,ongoing,Museum of Macedonian struggle,GLAM Macedonia,Eastern Europe,North Macedonia,Zana Shtrkovska,"Wiki Club, editing training, translation",Wikipedia,Students,Secundary and High schools,Mother language,"Science, Literature, Art, History, Geography, Sport","digital literacy, writing, language",WMF,no,https://outreach.wikimedia.org/wiki/GLAM/Case_studies/Wiki_Club_in_Macedonia:_from_idea_to_award,"Many times we published about activities of Wiki Clubs, last time will be in November Newsletter Education/News/November 2019/Workshops with Wiki Club members",none,http://www.publicitet.mk/na-minuvanje/item/11732-ohridskite-vikipedijci-megju-nagradenite (one of the many) and video made about Wiki Clubs: https://www.youtube.com/watch?v=67ixfnn5qUY,"more than 4,000",more than 20 millions,more than 320,
